state,name,temp,mo,da,wban,stn,c,rain,lat,long
CA,SAN FRANCISCO,56.2,03,24,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,60.5,04,16,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,53.3,04,29,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,52.8,05,11,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,52.5,05,30,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,59.0,07,03,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,58.9,07,04,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,59.9,07,09,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,60.5,07,21,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,62.1,08,23,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,61.4,10,01,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,66.5,10,13,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,60.7,10,27,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,49.8,11,28,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,50.2,12,01,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,48.8,12,16,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,55.1,01,19,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,52.7,03,09,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,65.6,07,19,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,46.9,12,25,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,52.5,01,11,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,53.1,01,13,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,59.4,01,27,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,55.2,01,29,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,55.7,02,01,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,54.3,03,02,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,56.6,03,17,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,55.1,04,11,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,53.9,05,07,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,53.3,05,08,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,54.1,06,18,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,61.8,09,02,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,59.9,09,04,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,57.7,09,12,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,60.2,09,18,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,59.3,09,30,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,61.5,10,08,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,61.4,10,16,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,56.2,11,18,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,58.0,11,20,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,54.4,01,06,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,57.1,01,08,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,53.5,01,10,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,60.5,02,15,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,58.4,02,23,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,56.2,03,12,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,55.0,03,19,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,55.6,03,31,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,52.9,04,09,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,54.3,05,20,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,55.5,06,07,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,61.2,07,14,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,59.4,07,26,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,60.9,08,10,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,62.4,08,24,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,66.3,08,28,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,62.6,09,19,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,57.3,09,28,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,59.8,10,03,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,61.1,10,09,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,61.3,10,21,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,54.6,12,08,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,54.3,12,13,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,50.0,12,14,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,48.9,12,20,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,46.1,12,29,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,46.8,01,03,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,52.1,01,25,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,60.4,02,09,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,56.9,02,27,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,53.3,03,01,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,62.8,03,15,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,55.3,04,02,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,53.4,04,14,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,54.7,04,15,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,51.1,04,18,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,52.6,04,23,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,55.4,05,14,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,54.7,05,23,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,52.9,05,25,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,56.7,06,02,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,56.7,06,24,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,58.6,09,23,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,64.3,09,24,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,61.5,09,25,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,62.2,10,10,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,60.7,10,26,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,60.8,10,30,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,54.8,11,05,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,58.1,11,08,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,49.1,01,01,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,56.8,02,02,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,56.8,03,23,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,51.4,04,19,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,51.8,05,04,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,56.2,06,03,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,60.6,06,28,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,63.2,07,12,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,60.6,07,15,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,60.3,07,22,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,61.0,07,31,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,61.3,08,06,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,62.8,08,13,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,61.4,09,03,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,61.5,10,15,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,55.9,11,19,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,52.7,12,23,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,44.3,12,28,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,52.2,01,05,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,52.5,01,15,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,53.8,01,18,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,62.3,02,07,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,56.9,03,13,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,55.2,03,27,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,53.5,04,13,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,54.8,04,26,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,55.3,05,21,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,53.3,05,24,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,58.1,06,26,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,60.6,07,06,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,62.8,07,07,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,61.1,07,30,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,64.1,08,03,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,63.0,08,14,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,60.4,09,13,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,59.3,09,26,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,59.1,10,24,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,55.8,11,14,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,50.4,12,15,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,55.8,01,28,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,53.9,01,30,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,55.4,03,18,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,54.5,05,18,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,54.9,06,21,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,59.1,12,10,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,51.6,01,22,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,53.1,03,04,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,52.1,04,06,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,52.0,04,08,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,54.1,05,26,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,52.6,05,28,99999,994016,1,0,37800.0,-122467.0
