state,name,temp,mo,da,wban,stn,c,rain,lat,long
MA,BOSTON,15.0,02,03,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,25.6,02,08,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,22.7,02,11,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,19.2,03,06,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,28.7,03,18,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,59.5,04,13,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,46.6,04,19,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,54.5,05,03,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,58.4,05,12,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,71.2,05,25,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,70.9,09,19,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,40.1,11,23,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,47.5,11,26,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,39.8,12,19,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,27.0,12,30,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,19.8,01,07,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,30.2,03,21,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,50.2,04,30,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,43.2,05,02,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,69.0,06,26,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,60.4,06,29,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,67.4,07,10,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,65.7,07,16,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,72.2,08,22,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,77.2,09,03,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,61.0,10,07,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,57.0,10,10,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,46.7,10,31,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,57.9,11,04,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,61.9,11,05,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,47.7,11,19,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,57.9,11,20,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,44.5,11,21,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,26.4,01,15,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,29.6,01,16,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,34.1,02,22,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,26.8,03,07,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,31.7,03,13,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,63.6,05,16,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,62.3,05,20,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,62.7,05,22,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,73.5,05,26,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,58.9,06,06,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,70.2,06,09,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,60.5,06,15,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,72.1,07,05,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,60.6,09,21,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,43.8,10,24,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,51.6,11,09,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,56.0,12,15,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,31.1,03,02,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,28.6,03,20,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,37.1,03,25,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,58.3,05,21,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,74.4,06,23,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,81.1,07,12,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,74.7,07,23,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,56.0,10,16,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,36.4,11,24,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,55.7,11,27,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,50.2,12,26,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,9.0,01,08,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,23.9,01,09,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,21.0,02,02,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,31.7,02,05,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,13.3,02,06,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,37.0,03,04,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,35.9,03,09,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,72.7,05,10,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,74.0,05,28,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,68.5,05,31,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,66.6,06,17,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,69.6,06,19,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,76.7,07,11,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,75.1,09,01,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,81.9,09,08,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,70.8,09,15,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,77.0,09,17,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,41.6,10,18,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,55.7,10,30,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,42.0,11,18,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,49.2,12,18,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,46.3,12,27,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,28.0,01,21,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,32.4,01,22,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,23.3,01,29,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,19.4,01,31,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,25.1,02,04,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,17.6,02,13,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,28.1,02,23,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,44.4,04,02,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,39.9,04,07,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,50.4,06,03,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,70.7,06,14,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,76.7,07,13,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,76.3,07,28,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,74.1,08,13,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,73.8,08,20,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,58.6,11,02,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,55.2,11,13,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,43.2,12,04,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,47.6,12,07,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,44.8,12,16,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,40.4,01,05,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,35.4,01,12,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,43.5,01,19,99999,994971,1,0,42350.0,-71050.0
